LAT,LONG,ALT
-12.41964036,136.7661319,12.00587252
-12.41974648,136.7660255,12.04443004
-12.41985243,136.7659193,12.08290312
-12.41995822,136.7658132,12.12129224
-12.42006385,136.7657073,12.15959789
-12.42016931,136.7656016,12.19782055
-12.42027461,136.765496,12.23596068
-12.42037976,136.7653905,12.27401877
-12.42048474,136.7652853,12.31199527
-12.42058956,136.7651802,12.34989065
-12.42069422,136.7650752,12.38770535
-12.42079873,136.7649704,12.42543984
-12.42090309,136.7648657,12.46309456
-12.42100729,136.7647612,12.50066995
-12.42111134,136.7646569,12.53816645
-12.42121523,136.7645527,12.5755845
-12.42131898,136.7644486,12.61292452
-12.42142258,136.7643447,12.65018695
-12.42152603,136.764241,12.68737221
-12.42162933,136.7641374,12.72448071
-12.42173248,136.7640339,12.76151287
-12.42183549,136.7639306,12.7984691
-12.42193836,136.7638274,12.83534981
-12.42204108,136.7637243,12.87215541
-12.42214367,136.7636214,12.90888628
-12.42224611,136.7635187,12.94554283
-12.42234841,136.7634161,12.98212545
-12.42245057,136.7633136,13.01863452
-12.4225526,136.7632112,13.05507044
-12.42265448,136.763109,13.09143358
-12.42275624,136.7630069,13.12772432
-12.42285785,136.762905,13.16394303
-12.42295934,136.7628031,13.20009009
-12.42306069,136.7627015,13.23616587
-12.4231619,136.7625999,13.27217071
-12.42326299,136.7624985,13.308105
-12.42336395,136.7623972,13.34396908
-12.42346477,136.762296,13.3797633
-12.42356547,136.762195,13.41548803
-12.42366604,136.762094,13.45114359
-12.42376649,136.7619933,13.48673035
-12.42386681,136.7618926,13.52224864
-12.423967,136.761792,13.5576988
-12.42406707,136.7616916,13.59308116
-12.42416702,136.7615913,13.62839606
-12.42426684,136.7614911,13.66364382
-12.42436654,136.7613911,13.69882476
-12.42446613,136.7612911,13.73393923
-12.42456559,136.7611913,13.76898752
-12.42466493,136.7610916,13.80396996
-12.42476416,136.760992,13.83888686
-12.42486327,136.7608925,13.87373854
-12.42496226,136.7607932,13.9085253
-12.42506114,136.7606939,13.94324745
-12.4251599,136.7605948,13.97790529
-12.42525854,136.7604958,14.01249912
-12.42535708,136.7603969,14.04702924
-12.4254555,136.7602981,14.08149594
-12.42555381,136.7601994,14.11589951
-12.42565201,136.7601008,14.15024025
-12.42575009,136.7600023,14.18451845
-12.42584807,136.759904,14.21873437
-12.42594594,136.7598057,14.25288832
-12.4260437,136.7597076,14.28698056
-12.42614136,136.7596095,14.32101138
-12.4262389,136.7595116,14.35498104
-12.42633634,136.7594138,14.38888983
-12.42643368,136.759316,14.422738
-12.42653091,136.7592184,14.45652583
-12.42662804,136.7591209,14.49025358
-12.42672506,136.7590234,14.52392152
-12.42682198,136.7589261,14.5575299
-12.4269188,136.7588289,14.59107898
-12.42701552,136.7587318,14.62456902
-12.42711214,136.7586348,14.65800027
-12.42720866,136.7585378,14.69137298
-12.42730508,136.758441,14.7246874
-12.4274014,136.7583443,14.75794378
-12.42749762,136.7582477,14.79114236
-12.42759374,136.7581511,14.82428339
-12.42768977,136.7580547,14.8573671
-12.4277857,136.7579583,14.89039374
-12.42788154,136.7578621,14.92336353
-12.42797728,136.7577659,14.95627672
-12.42807293,136.7576698,14.98913354
-12.42816848,136.7575739,15.02193421
-12.42826395,136.757478,15.05467897
-12.42835931,136.7573822,15.08736804
